id;nombre;ubigeo;descripcion
1;Generic;Business-focused generate grid-enabled;International card
2;West Virginia Keys;Factors Soft;black Beauty
3;Soap;Refined Granite Sausages Savings Account extensible;Course robust bricks-and-clicks
4;Buckinghamshire Nepalese Rupee;Forge Licensed;auxiliary
5;Engineer Toys Fantastic;Licensed;Marketing mobile Cayman Islands Dollar
6;Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered
7;deposit Rand Namibia Dollar;Branding;Handcrafted Rubber Sausages
8;Towels Mississippi Product;Metal;complexity Direct Administrator
9;online program Refined Granite Gloves;quantifying Baby;one-to-one Connecticut
10;Unbranded Tugrik;models streamline;projection Maldives
