id;nombre;descripcion
1;leading-edge;Ergonomic Steel Gloves
2;Developer Shoes Music;Buckinghamshire Hollow Shoes
3;withdrawal Generic Frozen Tuna;Gorgeous Cotton Chair Personal Loan Account Borders
4;Norfolk Island Chilean Peso Unidades de fomento Checking Account;invoice Outdoors New York
5;multi-byte Jamaican Dollar North Carolina;Station
6;parsing Investment Account;Branding Dynamic black
7;yellow;Books Generic
8;robust withdrawal generate;Garden open-source hybrid
9;Solomon Islands Dollar;Personal Loan Account HTTP
10;schemas Specialist China;quantify multi-byte
